Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6240|P6250|P6260|P6270|P6280|P6300|P6310|P7430|P6330|P6340|P6351
3453595|1|1|1|776.28948603|34535951|4|1|||||||||
3453595|1|2|2|776.28948603|34535951|1||||||||||
3453595|1|3|3|776.28948603|34535951|3|2|2|2|2|2|||||
3453596|1|1|1|1522.2957921|34535961|1||||||||||
3453596|1|2|2|1522.2957921|34535961|1||||||||||
3453596|1|3|3|1522.2957921|34535961|3|2|2|2|2|2|||||
3453597|1|1|1|1536.4441139|34535971|4|1|||||||||
3453597|1|2|2|1536.4441139|34535971|1||||||||||
3453597|1|3|3|1536.4441139|34535971|3|2|2|2|2|2|||||
3453597|1|5|5|1536.4441139|34535971|3|2|2|2|2|2|||||
3453597|1|6|6|1536.4441139|34535971|4|2|2|2|2|2|||||
3453597|1|7|7|1536.4441139|34535971|1||||||||||
3453598|1|1|1|918.82324085|34535981|1||||||||||
3453598|1|2|2|918.82324085|34535981|4|1|||||||||
3453598|1|3|3|918.82324085|34535981|3|2|2|2|2|2|||||
3453599|1|1|1|1299.1534151|34535991|6|2|2|2|2|2|||||
3453599|1|2|2|1299.1534151|34535991|4|2|2|2|2|2|||||
3453599|1|3|3|1299.1534151|34535991|1||||||||||
3453599|1|4|4|1299.1534151|34535991|4|1|||||||||
3453599|1|5|5|1299.1534151|34535991|1||||||||||
3453599|1|6|6|1299.1534151|34535991|3|2|2|2|2|2|||||
3453600|1|1|1|1373.6179513|34536001|4|1|||||||||
3453600|1|2|2|1373.6179513|34536001|5||||||||||
3453600|1|3|3|1373.6179513|34536001|4|1|||||||||
3453600|1|4|4|1373.6179513|34536001|3|2|2|2|2|2|||||
3453600|1|5|5|1373.6179513|34536001|1||||||||||
3453601|1|1|1|1664.2946662|34536011|1||||||||||
3453601|1|2|2|1664.2946662|34536011|1||||||||||
3453601|1|3|3|1664.2946662|34536011|1||||||||||
3453601|1|4|4|1664.2946662|34536011|3|2|2|2|2|2|||||
3453601|1|5|5|1664.2946662|34536011|3|2|2|2|2|2|||||
3453601|1|6|6|1664.2946662|34536011|4|2|2|2|2|2|||||
3453602|1|1|1|1471.5215261|34536021|1||||||||||
3453602|1|2|2|1471.5215261|34536021|4|1|||||||||
3453603|1|1|1|1279.4250756|34536031|4|1|||||||||
3453603|1|2|2|1279.4250756|34536031|5||||||||||
3453603|1|3|3|1279.4250756|34536031|4|2|2|2|2|1|5|1|1|1|1
3453603|1|4|4|1279.4250756|34536031|1||||||||||
3453603|2|1|1|1279.4250756|34536032|1||||||||||
3453604|1|1|1|665.56444133|34536041|1||||||||||
3453604|1|2|2|665.56444133|34536041|4|2|2|2|2|2|||||
3453604|1|3|3|665.56444133|34536041|3|2|2|2|2|2|||||
3453604|1|4|4|665.56444133|34536041|3|2|2|2|2|2|||||
3453604|1|5|5|665.56444133|34536041|3|2|2|2|2|2|||||
3453605|1|1|1|1426.086904|34536051|2|2|2|2|1||||||1
3453605|1|2|2|1426.086904|34536051|1||||||||||
3453605|1|3|3|1426.086904|34536051|3|2|2|2|2|2|||||
3453606|1|1|1|1514.801571|34536061|1||||||||||
3453606|1|2|2|1514.801571|34536061|4|2|2|2|2|1|10||||
3453607|1|1|1|1678.0568428|34536071|4|2|2|2|2|2|||||
3453607|1|2|2|1678.0568428|34536071|1||||||||||
3453607|1|3|3|1678.0568428|34536071|1||||||||||
3453608|1|1|1|871.97963885|34536081|1||||||||||
