Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3453600|1|1|1|1373.6179513|34536001|2||2||1|1|1|2|2|2|2|2|2||1||1000000
3453601|1|1|1|1664.2946662|34536011|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3453602|1|1|1|1471.5215261|34536021|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453603|1|1|1|1279.4250756|34536031|2||2||1|1|1|2|2|2|2|2|1||1||1300000
3453603|1|2|2|1279.4250756|34536032|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3453604|1|1|1|665.56444133|34536041|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3453605|1|1|1|1426.086904|34536051|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453606|1|1|1|1514.801571|34536061|2||2||1|1|2|2|2|2|2|2|2||1||2800000
3453607|1|1|1|1678.0568428|34536071|2||2||1|1|2|2|2|2|2|2|1||1||2200000
3453608|1|1|1|871.97963885|34536081|2||2||1|1|2|1|2|2|2|2|2||1||5000000
3453609|1|1|1|1394.1628215|34536091|2||2||1|1|2|2|2|2|2|2|2||1||98
3453610|1|1|1|648.20384013|34536101|2||2||1|1|2|1|2|2|2|2|1||1||98
3453611|1|1|1|1703.5302022|34536111|2||2||1|1|2|2|2|2|2|2|1||8||1200000
3453612|1|1|1|2168.3065651|34536121|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3453613|1|1|1|2018.3453686|34536131|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453614|1|1|1|1165.898151|34536141|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3453615|1|1|1|1048.4918485|34536151|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3453616|1|1|1|1499.2121396|34536161|2||2||1|1|2|2|2|2|2|2|2||1||1300000
