Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3453689|1|1|1|8201.1514261|11|2|1|2|1|1|1|1
3453690|1|1|1|5340.3836217|11|2|1|1|1|1|1|1
3453691|1|1|1|5979.5356094|11|2|1|1|1|1|1|1
3453692|1|1|1|8658.6588861|11|2|1|1|1|1|1|1
3453693|1|1|1|6112.0930535|11|2|1|1|1|1|1|1
3453694|1|1|1|8084.0771394|11|2|1|1|1|1|1|1
3453695|1|1|1|8658.6588861|11|2|1|2|1|1|1|1
3453696|1|1|1|6474.7723492|11|2|1|3|1|1|1|1
3453697|1|1|1|4278.7702507|11|2|1|3|1|1|1|1
3453698|1|1|1|7772.6073711|11|2|1|3|1|1|1|1
3453699|1|1|1|5489.3177064|11|1|1|3|1|1|1|1
3453700|1|1|1|5204.0710937|11|1|1|3|1|1|1|1
3453701|1|1|1|7416.0390531|11|2|1|3|1|1|1|1
3453702|1|1|1|6441.7885989|11|1|1|3|1|1|1|1
3453703|1|1|1|4893.4151319|11|2|1|3|1|1|1|1
3453704|1|1|1|8596.8912124|11|2|1|2|1|1|1|1
3453705|1|1|1|7213.3115729|11|1|1|2|1|1|1|1
3453706|1|1|1|7196.1987234|11|2|1|2|1|1|1|1
3453707|1|1|1|12973.7782|11|2|1|2|1|1|1|1
3453708|1|1|1|5486.7779078|11|2|1|2|1|1|1|1
3453709|1|1|1|9473.2185278|11|1|1|2|1|1|1|1
3453710|1|1|1|9545.2032501|11|2|1|2|1|1|1|1
3453711|1|1|1|7196.1987234|11|1|1|2|1|1|1|1
3453712|1|1|1|6922.399194|11|1|1|2|1|1|1|1
3453713|1|1|1|5933.5406015|11|1|1|2|1|1|1|1
3453714|1|1|1|5282.1021482|11|1|1|2|1|1|1|1
3453715|1|1|1|3771.5677686|11|1|1|1|1|1|1|1
3453716|1|1|1|5265.6009209|11|1|1|2|1|1|1|1
3453717|1|1|1|6572.2956291|11|1|1|2|1|1|1|1
3453718|1|1|1|7889.151657|11|1|1|2|1|1|1|1
3453719|1|1|1|5268.1230269|11|1|1|2|1|1|1|1
3453720|1|1|1|5979.2691742|11|1|1|2|1|1|1|1
3453721|1|1|1|6062.7993312|11|1|1|2|1|1|1|1
3453722|1|1|1|5063.0224087|11|2|1|4|1|1|1|1
3453723|1|1|1|2795.0751728|11|2|1|4|1|1|1|1
3453724|1|1|1|4461.6432085|11|2|1|4|2|1|1|1
3453725|1|1|1|3333.1360714|11|2|1|4|2|1|1|1
3453726|1|1|1|7202.9016031|11|2|1|4|1|1|1|1
3453727|1|1|1|9646.9063251|11|2|1|4|1|1|1|1
3453728|1|1|1|6133.4732811|11|2|1|4|1|1|1|1
3453729|1|1|1|3603.823832|11|2|1|4|1|1|1|1
3453730|1|1|1|9299.3593765|11|1|1|2|1|2|1|1
3453731|1|1|1|4410.5312331|11|2|1|2|1|1|1|1
3453732|1|1|1|7239.1931398|11|2|1|2|1|1|1|1
3453733|1|1|1|4302.7597981|11|1|1|2|1|1|1|1
3453734|1|1|1|4557.5925248|11|2|1|2|1|1|1|1
3453735|1|1|1|6071.2752809|11|1|1|2|1|1|1|1
3453736|1|1|1|11765.734523|11|2|1|4|2|1|1|1
3453737|1|1|1|13137.766848|11|2|1|4|1|1|1|1
3453739|1|1|1|8418.3502987|11|2|1|4|1|1|1|1
3453740|1|1|1|8879.7786427|11|2|1|4|1|1|1|1
3453741|1|1|1|11032.573715|11|2|1|4|1|1|1|1
3453742|1|1|1|12676.338504|11|1|1|4|2|1|1|1
3453743|1|1|1|10881.968725|11|1|1|4|1|1|1|1
3453744|1|1|1|12573.335453|11|2|1|4|2|1|1|1
3453745|1|1|1|5102.0304841|11|2|1|3|1|1|1|1
3453746|1|1|1|4517.8122738|11|2|1|3|1|1|1|1
3453747|1|1|1|7068.3221049|11|2|1|3|1|1|1|1
3453748|1|1|1|6761.3213113|11|2|1|3|1|1|1|1
3453749|1|1|1|3875.0793892|11|2|1|3|1|1|1|1
3453750|1|1|1|7620.203305|11|2|1|3|1|1|1|1
3453751|1|1|1|7561.6886308|11|2|1|3|1|1|1|1
3453754|1|1|1|5070.993321|11|2|1|5|1|1|1|1
