Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P1992|P1993S1|P1993S1A1|P1994|P1994S1|P1995|P1995S1|P1996S1|P1996S1A1|P1996S2|P1996S2A1|P1996S3|P1996S3A1|P1996S4|P1996S4A1|P1996S5|P1996S5A1|P1996S7|P1996S7A1|P1996S8|P1996S8A1|P1996S10|P1996S10A1|P1997|P1998
3453539|1|2|2|4185.3170397|34535391|2||||||||||||||||||||||||4
3453540|1|1|1|4645.64492|34535401|2||||||||||||||||||||||||2
3453540|1|2|2|4645.64492|34535401|2||||||||||||||||||||||||1
3453540|1|3|3|4645.64492|34535401|2||||||||||||||||||||||||1
3453541|1|1|1|5578.9273602|34535411|2||||||||||||||||||||||||1
3453542|1|1|1|4297.5023119|34535421|1|13|13001|3||2024-06-11|2024-06-14|2||2||1|3|2||2||2||2||2||1|
3453542|1|2|2|4297.5023119|34535421|2||||||||||||||||||||||||2
3453542|1|3|3|4297.5023119|34535421|2||||||||||||||||||||||||1
3453543|1|1|1|5087.9572674|34535431|2||||||||||||||||||||||||1
3453543|1|2|2|5087.9572674|34535431|2||||||||||||||||||||||||2
3453543|1|3|3|5087.9572674|34535431|2||||||||||||||||||||||||1
3453543|1|5|5|5087.9572674|34535431|2||||||||||||||||||||||||1
3453544|1|1|1|4188.4009185|34535441|2||||||||||||||||||||||||2
3453544|1|2|2|4188.4009185|34535441|2||||||||||||||||||||||||1
3453544|1|3|3|4188.4009185|34535441|2||||||||||||||||||||||||1
3453544|1|4|4|4188.4009185|34535441|2||||||||||||||||||||||||2
3453545|1|1|1|3695.032006|34535451|2||||||||||||||||||||||||4
3453545|1|2|2|3695.032006|34535451|2||||||||||||||||||||||||2
3453546|1|1|1|3462.7674883|34535461|2||||||||||||||||||||||||2
3453546|1|2|2|3462.7674883|34535461|2||||||||||||||||||||||||1
3453546|1|3|3|3462.7674883|34535461|2||||||||||||||||||||||||1
3453547|1|1|1|5129.3825622|34535471|2||||||||||||||||||||||||4
3453548|1|1|1|3791.7087819|34535481|2||||||||||||||||||||||||2
3453548|1|2|2|3791.7087819|34535481|2||||||||||||||||||||||||2
3453548|1|3|3|3791.7087819|34535481|2||||||||||||||||||||||||2
3453549|1|1|1|7419.183221|34535491|2||||||||||||||||||||||||1
3453549|1|2|2|7419.183221|34535491|2||||||||||||||||||||||||4
3453550|1|1|1|4084.4691805|34535501|1|05|05364|3||2024-06-29|2024-06-30|2||2||1|1|2||2||2||2||2||4|
3453550|1|2|2|4084.4691805|34535501|1|05|05364|3||2024-06-29|2024-06-30|2||2||1|1|2||2||2||2||2||4|
3453550|1|3|3|4084.4691805|34535501|2||||||||||||||||||||||||2
3453551|1|1|1|5526.0746989|34535511|2||||||||||||||||||||||||2
3453551|1|2|2|5526.0746989|34535511|2||||||||||||||||||||||||2
3453552|1|1|1|3606.7386539|34535521|2||||||||||||||||||||||||1
3453552|1|2|2|3606.7386539|34535521|2||||||||||||||||||||||||1
3453553|1|1|1|1587.6003795|34535531|2||||||||||||||||||||||||4
3453553|1|2|2|1587.6003795|34535531|2||||||||||||||||||||||||4
3453554|1|1|1|1456.6427378|34535541|2||||||||||||||||||||||||7
