Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P36|P36S1|P6007|P6007S1|P543|P544S1|P544S2|P544S3|P544S4|P544S5|P544S6|P544S7|P544S8|P544S9|P545|P546|P547
3409804|1|1|1|349.56586482|34098041|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409805|1|1|1|267.72551807|34098051|2||2||1|1|2|2|2|2|2|1|2||1||5000000
3409806|1|1|1|267.72551807|34098061|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409808|1|1|1|412.54648621|34098081|2||2||1|1|2|2|2|2|2|2|1||1||700000
3409809|1|1|1|267.72551807|34098091|2||2||1|2|2|2|2|2|2|1|2||7||1000000
3409810|1|1|1|175.23400013|34098101|2||2||1|2|2|1|2|2|2|2|2||3||1300000
3409811|1|1|1|282.17816911|34098111|2||2||1|1|2|2|2|2|1|2|2||1||2970000
3409812|1|1|1|175.23400013|34098121|2||2||1|2|1|1|2|2|2|2|2||3||1600000
3409813|1|1|1|175.23400013|34098131|2||2||1|1|2|2|2|2|2|2|2||1||1460000
3409815|1|1|1|265.75202019|34098151|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409816|1|1|1|700.9360005|34098161|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3409817|1|1|1|183.009538|34098171|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3409818|1|1|1|183.009538|34098181|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3409819|1|1|1|265.75202019|34098191|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3409820|1|1|1|603.42478234|34098201|2||2||2|1|2|2|2|2|2|2|2||1||1300000
3409821|1|1|1|175.23400013|34098211|2||2||1|2|2|2|2|2|2|2|1||8||900000
3409822|1|1|1|308.35766803|34098221|2||2||1|2|2|1|2|2|2|2|2||3||1300000
3409823|1|1|1|265.75202019|34098231|2||2||1|1|2|2|2|2|2|2|2||1||1460000
3409824|1|1|1|700.9360005|34098241|2||2||2|1|2|2|2|2|2|2|2||1||2000000
3409825|1|1|1|700.9360005|34098251|2||2||1|1|2|2|2|2|2|2|2||1||1460000
3409826|1|1|1|754.85415439|34098261|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3409827|1|1|1|754.85415439|34098271|2||2||1|1|2|2|2|2|2|2|2||1||3900000
3409828|1|1|1|625.77448867|34098281|2||2||1|1|2|1|2|2|2|2|2||1||4500000
3409829|1|1|1|534.56318613|34098291|2||2||1|1|2|2|2|2|2|2|2||1||1460000
3409830|1|1|1|188.7135386|34098301|2||2||1|1|2|2|2|2|2|2|2||1||400000
3409831|1|1|1|378.58085214|34098311|2||2||1|1|2|2|2|2|2|2|2||1||1360000
3409832|1|1|1|188.7135386|34098321|2||2||1|2|1|1|2|2|2|2|2||3||1380000
3409833|1|1|1|535.51342522|34098331|2||2||1|1|2|2|2|2|2|2|2||1||1360000
3409834|1|1|1|303.88418212|34098341|2||2||1|1|1|1|1|1|1|2|2||1||1300000
3409835|1|1|1|512.10611588|34098351|2||2||2|1|2|2|2|2|2|2|2||1||3000000
3409911|1|1|1|290.36701639|34099111|2||2||1|1|2|2|2|2|2|2|2||1||800000
3409912|1|1|1|199.19611447|34099121|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3409913|1|1|1|163.94085999|34099131|2||2||1|2|1|2|2|2|2|2|1||8||680000
3409914|1|1|1|118.44104504|34099141|2||2||1|1|1|2|2|2|2|2|1||8||600000
3409915|1|1|1|149.93555929|34099151|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3409916|1|1|1|198.14553262|34099161|2||2||1|1|1|2|2|2|2|2|1||8||400000
3409917|1|1|1|220.70988133|34099171|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409917|1|2|2|220.70988133|34099172|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3409918|1|1|1|248.75465984|34099181|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3409919|1|1|1|158.17709334|34099191|2||2||1|1|2|2|2|2|2|2|2||1||400000
3409920|1|1|1|138.41513792|34099201|2||2||2|1|2|2|2|2|2|2|2||1||4300000
3409921|1|1|1|124.52849074|34099211|2||2||2|1|2|2|2|2|2|2|2||1||1700000
3409922|1|1|1|220.09523569|34099221|2||2||1|1|2|2|2|2|2|2|2||1||6000000
3409923|1|1|1|138.41513792|34099231|2||2||1|1|2|1|2|2|2|2|2||3||4000000
3409924|1|1|1|115.57697093|34099241|2||2||1|1|2|2|2|2|2|2|1||1||1500000
3409925|1|1|1|105.80455683|34099251|2||2||2|1|2|2|2|2|2|2|2||1||900000
3409926|1|1|1|174.42999937|34099261|2||2||2|1|2|2|2|2|2|2|2||1||2600000
3409927|1|1|1|161.25330491|34099271|1|1|2||1|1|2|2|2|2|2|2|2||1||500000
3409928|1|1|1|160.60957928|34099281|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3409929|1|1|1|222.06542562|34099291|2||2||1|1|2|2|2|2|2|2|1||1||1300000
3409930|1|1|1|217.09168656|34099301|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409931|1|1|1|162.414371|34099311|2||2||1|1|1|2|2|2|2|2|2||1||1200000
3409932|1|1|1|170.45276266|34099321|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3409932|1|2|2|170.45276266|34099322|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3409933|1|1|1|106.43358849|34099331|2||2||1|2|2|1|2|2|2|2|2||3||3200000
3409934|1|1|1|85.836342191|34099341|2||2||2|1|2|2|2|2|2|1|2||1||2800000
3409935|1|1|1|151.18811863|34099351|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3409936|1|1|1|175.86064526|34099361|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3409937|1|1|1|115.34594827|34099371|2||2||1|2|2|1|2|2|2|2|2||3||2800000
3409938|1|1|1|176.72177792|34099381|2||2||1|1|2|2|2|2|2|2|2||1||2300000
3409939|1|1|1|131.81035919|34099391|2||2||1|1|2|1|2|2|2|2|2||1||3500000
3409940|1|1|1|85.836342191|34099401|2||2||1|1|2|1|2|2|2|2|2||1||4000000
3409941|1|1|1|203.3288904|34099411|2||2||1|2|2|1|1|2|2|2|2||3||3000000
3409942|1|1|1|115.34594827|34099421|2||2||2|2|2|1|2|2|2|2|2||3||2200000
3409943|1|1|1|172.53381705|34099431|2||2||1|1|2|2|2|2|2|2|2||1||4000000
3409944|1|1|1|115.34594827|34099441|2||2||1|1|2|1|2|2|2|2|2||3||1800000
3409945|1|1|1|201.67971893|34099451|2||2||1|1|2|2|2|2|2|2|2||1||98
3409946|1|1|1|183.64959726|34099461|2||2||1|2|2|1|2|2|2|2|2||3||1200000
3409947|1|1|1|231.11056229|34099471|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409948|1|1|1|227.68985356|34099481|2||2||1|1|2|2|2|2|2|2|2||1||700000
3409949|1|1|1|221.96630703|34099491|2||2||1|2|2|2|2|2|2|1|2||7||950000
3409950|1|1|1|272.93604509|34099501|2||2||1|2|2|2|2|2|2|2|2|2||2200000|
3409951|1|1|1|279.83647293|34099511|2||2||2|1|2|2|2|2|2|2|2||1||2500000
3409952|1|1|1|183.64959726|34099521|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3409953|1|1|1|335.40035713|34099531|2||2||1|1|2|2|2|2|2|2|1||1||1500000
3409954|1|1|1|335.9808042|34099541|2||2||1|2|2|2|1|2|2|2|2||4||500000
3409955|1|1|1|263.92335287|34099551|2||2||1|1|1|2|2|2|2|2|1||1||800000
3409956|1|1|1|358.87802209|34099561|2||2||1|1|2|2|2|2|2|2|2||1||1600000
3409957|1|1|1|341.19984313|34099571|2||2||1|1|2|2|2|2|2|2|2||1||600000
3409958|1|1|1|249.44076824|34099581|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409959|1|1|1|280.3674527|34099591|2||2||1|1|2|2|2|2|2|2|2||1||2000000
3409960|1|1|1|241.61338665|34099601|2||2||1|1|2|2|2|2|2|2|2||1||700000
3410022|1|1|1|312.14644928|34100221|2||2||2|1|2|2|2|2|2|2|2||1||1500000
3410023|1|1|1|377.81980206|34100231|2||2||1|1|2|2|2|2|2|2|2||1||1200000
3410024|1|1|1|389.4521497|34100241|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3410025|1|1|1|172.06639858|34100251|2||2||1|1|1|1|2|2|2|2|2||3||1700000
3410026|1|1|1|257.74668825|34100261|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3410027|1|1|1|290.58336464|34100271|2||2||2|1|1|2|2|2|2|2|2||1||3000000
3410028|1|1|1|170.12276658|34100281|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3410029|1|1|1|330.94786902|34100291|2||2||2|1|2|2|2|2|2|2|2||1||1300000
3410030|1|1|1|113.79005593|34100301|2||2||1|1|2|2|2|2|2|2|2||1||900000
3410031|1|1|1|522.48579623|34100311|2||2||1|2|2|2|2|2|2|2|1||8||800000
3410032|1|1|1|413.62340055|34100321|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3410033|1|1|1|469.34089622|34100331|2||2||1|1|2|1|2|2|2|2|2||1||2400000
3410034|1|1|1|712.88023674|34100341|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3410035|1|1|1|631.66692536|34100351|2||2||1|1|2|2|2|2|2|2|2||1||1400000
3410036|1|1|1|119.66541496|34100361|2||2||1|1|2|2|2|2|2|2|2||1||500000
3410037|1|1|1|215.94683812|34100371|2||2||1|1|2|2|2|2|2|2|2||1||2600000
3410038|1|1|1|305.48351358|34100381|2||2||1|2|2|1|2|2|2|2|2||3||2300000
3410039|1|1|1|180.18082158|34100391|2||2||1|1|2|2|2|2|2|2|2||1||1900000
3410040|1|1|1|228.38314148|34100401|2||2||1|1|2|2|2|2|2|2|2||1||1500000
3410041|1|1|1|147.77415788|34100411|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3410042|1|1|1|163.17799527|34100421|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3410043|1|1|1|126.3356423|34100431|2||2||1|1|2|2|2|2|2|2|2||1||700000
3410045|1|1|1|293.51185601|34100451|2||2||2|1|2|2|2|2|2|2|2||1||1600000
3410046|1|1|1|158.38183417|34100461|2||2||1|2|2|2|1|2|2|1|2||4||2000000
3410047|1|1|1|239.49537229|34100471|2||2||2|2|2|2|2|2|2|2|1||8||600000
3410048|1|1|1|158.38183417|34100481|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3410049|1|1|1|239.49537229|34100491|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3410050|1|1|1|228.27186061|34100501|2||2||2|2|2|2|2|2|2|2|2|2||800000|
3410051|1|1|1|525.87893336|34100511|2||2||1|1|2|2|2|2|2|2|2||1||2500000
3410052|1|1|1|390.82766901|34100521|2||2||1|2|2|2|2|2|2|2|1||8||700000
3410053|1|1|1|358.75185141|34100531|2||2||1|1|2|2|2|2|2|2|2||1||1800000
3410054|1|1|1|233.14714726|34100541|2||2||1|2|2|2|2|2|2|2|1||8||700000
3410055|1|1|1|435.41611982|34100551|2||2||1|1|2|2|2|2|2|2|2||1||1300000
3410056|1|1|1|228.69584622|34100561|2||2||1|1|2|1|2|2|2|2|2||3||1500000
3410057|1|1|1|323.92025719|34100571|2||2||1|1|2|2|2|2|2|2|2||1||900000
3410058|1|1|1|604.95979101|34100581|2||2||1|1|2|2|2|2|2|2|2||1||1000000
3410059|1|1|1|414.87819209|34100591|2||2||1|1|2|2|2|2|2|2|2||1||2000000
