Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|llave_hogar|P6160|P6170|P6175|P6210|P6210S1|P6220
3409737|1|3|3|650.1808281|34097371|1|1|1|3|03|
3409739|1|1|1|477.26249763|34097391|1|2||4|07|
3409739|1|2|2|477.26249763|34097391|1|1|1|3|03|
3409740|1|1|1|452.17571559|34097401|1|2||5|11|2
3409740|1|2|2|452.17571559|34097401|1|2||5|11|2
3409740|1|3|3|452.17571559|34097401|1|2||5|11|2
3409740|1|4|4|452.17571559|34097401|1|1|1|5|10|1
3409740|1|5|5|452.17571559|34097401|1|2||5|11|2
3409740|1|6|6|452.17571559|34097401|1|1|1|3|00|
3409740|1|7|7|452.17571559|34097401|1|2||5|11|2
3409740|1|8|8|452.17571559|34097401|1|1|2|4|08|
3409741|1|1|1|477.22037367|34097411|1|2||6|02|3
3409741|1|2|2|477.22037367|34097411|1|2||5|10|1
3409741|1|3|3|477.22037367|34097411|1|1|1|3|00|
3409741|1|4|4|477.22037367|34097411|1|1|1|2|00|
3409741|1|5|5|477.22037367|34097411|2|2||1|00|
3409742|1|1|1|365.86147966|34097421|1|2||5|10|1
3409742|1|2|2|365.86147966|34097421|1|1|2|6|02|2
3409742|1|3|3|365.86147966|34097421|1|2||1|00|
3409742|1|4|4|365.86147966|34097421|1|1|1|3|01|
3409745|1|1|1|690.4158294|34097451|1|2||5|11|2
3409745|1|2|2|690.4158294|34097451|1|2||5|11|2
3409745|1|3|3|690.4158294|34097451|1|1|1|4|08|
3409745|1|4|4|690.4158294|34097451|1|1|1|3|00|
3409749|1|1|1|442.2041412|34097491|1|2||6|05|4
3409749|1|2|2|442.2041412|34097491|1|2||6|02|3
3409750|1|1|1|571.8084135|34097501|1|2||6|03|3
3409750|1|2|2|571.8084135|34097501|1|2||6|02|3
3409750|1|3|3|571.8084135|34097501|1|2||6|05|4
3409751|1|1|1|442.2041412|34097511|1|2||6|02|3
3409751|1|2|2|442.2041412|34097511|1|2||6|05|4
3409752|1|1|1|400.97227015|34097521|1|2||6|05|4
3409752|1|2|2|400.97227015|34097521|1|2||6|03|3
3409752|1|3|3|400.97227015|34097521|1|1|1|5|10|1
3409756|1|1|1|117.45689791|34097561|1|2||4|09|
3409756|1|2|2|117.45689791|34097561|1|2||3|05|
3409757|1|1|1|129.77622022|34097571|1|2||5|11|2
3409757|1|2|2|129.77622022|34097571|1|2||6|05|4
3409757|1|3|3|129.77622022|34097571|2|1|1|2|00|
3409758|1|1|1|82.682213555|34097581|1|2||3|02|
3409758|1|2|2|82.682213555|34097581|2|2||1|00|
3409759|1|1|1|83.437431963|34097591|1|2||3|01|
3409760|1|1|1|83.437431963|34097601|2|2||1|00|
3409761|1|1|1|101.41172065|34097611|2|2||3|01|
3409761|1|2|2|101.41172065|34097611|1|2||4|08|
3409761|1|3|3|101.41172065|34097611|1|1|1|4|07|
3409762|1|1|1|118.98120993|34097621|1|2||5|11|2
3409762|1|2|2|118.98120993|34097621|1|2||5|11|2
