Directorio|Secuencia_p|Secuencia_encuesta|Orden|Fex_c|area|P5747|P8520S1|P8520S1A1|P8520S2|P8520S3|P8520S4|P8520S5
3469650|1|1|1|644.14796149|13|2|1|2|1|1|1|1
3469651|1|1|1|1005.3829958|13|2|1|2|1|1|1|1
3469652|1|1|1|888.7281805|13|2|1|2|1|1|1|1
3469653|1|1|1|604.43659492|13|2|1|2|1|1|1|1
3469654|1|1|1|783.32598189|13|2|1|2|1|1|1|1
3469655|1|1|1|773.30883737|13|2|1|2|1|1|1|1
3469656|1|1|1|607.55016786|13|2|1|2|1|1|1|1
3469657|1|1|1|526.10112385|13|2|1|2|1|1|1|1
3469658|1|1|1|773.90267784|13|1|1|2|1|1|1|1
3469659|1|1|1|550.33079313|13|2|1|2|1|1|1|1
3469660|1|1|1|497.53847127|13|2|1|2|1|1|1|1
3469661|1|1|1|612.29283276|13|1|1|2|1|1|1|1
3469662|1|1|1|584.33984808|13|1|1|2|1|1|1|1
3469663|1|1|1|532.46776511|13|1|1|2|1|1|1|1
3469664|1|1|1|432.03567492|13|1|1|2|1|1|1|1
3469665|1|1|1|542.70953803|13|2|1|2|1|1|1|1
3469666|1|1|1|429.82157861|13|1|1|2|1|1|1|1
3469667|1|1|1|321.70950606|13|2|1|2|1|1|1|1
3469668|1|1|1|572.9353463|13|2|1|2|1|1|1|1
3469669|1|1|1|443.84162282|13|1|1|2|1|1|1|1
3469670|1|1|1|883.04310629|13|2|1|2|1|1|1|1
3469672|1|1|1|641.5512834|13|2|1|2|1|1|1|1
3469673|1|1|1|748.78279468|13|2|1|2|1|1|1|1
3469674|1|1|1|546.23497293|13|2|1|2|1|1|1|1
3469675|1|1|1|702.77704816|13|2|1|2|1|1|1|1
3469676|1|1|1|607.55016786|13|2|1|2|1|1|1|1
3469677|1|1|1|996.58434868|13|2|1|2|1|1|1|1
3469678|1|1|1|597.90667607|13|2|1|1|1|1|1|1
3469679|1|1|1|547.09671306|13|1|1|1|1|1|1|1
3469680|1|1|1|592.12275589|13|2|1|1|1|1|1|1
3469681|1|1|1|789.28372973|13|2|1|1|1|1|1|1
3469682|1|1|1|736.70619469|13|1|1|1|1|1|1|1
3469683|1|1|1|844.58224633|13|2|1|1|1|1|1|1
3469684|1|1|1|418.72000831|13|2|1|1|1|1|1|1
3469685|1|1|1|459.80540612|13|1|1|1|1|1|1|1
3469686|1|1|1|497.86128333|13|2|1|1|1|1|1|1
3469687|1|1|1|556.39904934|13|2|1|1|1|1|1|1
3469688|1|1|1|512.66205242|13|2|1|1|1|1|1|1
3469689|1|1|1|569.15274442|13|1|1|1|1|1|1|1
3469690|1|1|1|533.66200354|13|1|1|1|1|1|1|1
3469691|1|1|1|474.62416146|13|2|1|1|1|1|1|1
3469692|1|1|1|792.52183918|13|1|1|1|1|1|1|1
3469693|1|1|1|777.79317729|13|1|1|1|1|1|1|1
3469694|1|1|1|570.95102919|13|1|1|1|1|1|1|1
3469695|1|1|1|501.25208934|13|2|1|1|1|1|1|1
3469696|1|1|1|501.66314382|13|2|1|1|1|1|1|1
3469697|1|1|1|441.60945239|13|2|1|1|1|1|1|1
3469698|1|1|1|748.78279468|13|2|1|2|1|1|1|1
3469699|1|1|1|546.23497293|13|1|1|2|1|1|1|1
3469700|1|1|1|625.84906467|13|2|1|2|1|1|1|1
3469701|1|1|1|756.57101128|13|2|1|1|1|1|1|1
3469702|1|1|1|876.22211994|13|2|1|2|1|1|1|1
3469703|1|1|1|487.67688416|13|1|1|1|1|1|1|1
3469704|1|1|1|440.29070265|13|1|1|2|1|1|1|1
3469705|1|1|1|649.06567028|13|2|1|1|1|1|1|1
3469706|1|1|1|859.19499886|13|2|1|1|1|1|1|1
3469707|1|1|1|702.77704816|13|2|1|1|1|1|1|1
3469708|1|1|1|148.43389291|15|2|1|2|1|1|1|1
3469709|1|1|1|144.23860005|15|1|1|2|1|1|1|1
3469710|1|1|1|105.13934486|15|2|1|2|1|1|1|1
3469711|1|1|1|382.70933899|15|1|1|2|1|1|1|1
3469712|1|1|1|142.59776402|15|1|1|2|1|1|1|1
3469713|1|1|1|111.49890683|15|1|1|2|1|1|1|1
3469714|1|1|1|174.88321561|15|2|1|2|1|1|1|1
3469715|1|1|1|112.95035012|15|1|1|2|1|1|1|1
3469716|1|1|1|101.53299498|15|2|1|2|1|1|1|1
3469717|1|1|1|128.64715758|15|2|1|3|1|1|1|1
3469718|1|1|1|103.77482967|15|2|1|3|1|1|1|1
3469719|1|1|1|316.15119308|15|2|1|3|1|1|1|1
3469720|1|1|1|71.573242822|15|2|1|3|1|1|1|1
3469721|1|1|1|102.23303786|15|2|1|3|1|1|1|1
3469722|1|1|1|111.72656932|15|2|1|3|1|1|1|1
3469723|1|1|1|108.12603712|15|2|1|3|1|1|1|1
3469724|1|1|1|213.40073082|15|2|1|3|1|1|1|1
3469725|1|1|1|116.74541379|15|1|1|3|1|1|1|1
3469726|1|1|1|130.75408409|15|2|1|3|1|1|1|1
3469727|1|1|1|213.40073082|15|2|1|3|1|1|1|1
3469728|1|1|1|176.4103726|15|2|1|3|1|1|1|1
3469729|1|1|1|130.75408409|15|2|1|3|1|1|1|1
3469730|1|1|1|156.61906732|15|1|1|3|1|1|1|1
3469731|1|1|1|141.02772399|15|2|1|3|1|1|1|1
3469732|1|1|1|153.64546527|15|1|1|3|1|1|1|1
3469733|1|1|1|185.71767758|15|1|1|3|1|1|1|1
3469734|1|1|1|187.08988762|15|1|1|3|1|1|1|1
3469735|1|1|1|187.08988762|15|1|1|3|1|1|1|1
3469736|1|1|1|128.70681655|15|1|1|3|1|1|1|1
3469737|1|1|1|115.67388578|15|1|1|3|1|1|1|1
3469739|1|1|1|347.58142865|15|1|1|3|1|1|1|1
3469740|1|1|1|158.34432374|15|1|1|3|1|1|1|1
3469741|1|1|1|130.99930826|15|1|1|3|1|1|1|1
3469742|1|1|1|168.78165656|15|1|1|3|1|1|1|1
3469743|1|1|1|91.043584476|15|1|1|3|1|1|1|1
3469744|1|1|1|130.99930826|15|2|1|3|1|1|1|1
3469745|1|1|1|107.95126713|15|2|1|3|1|1|1|1
3469746|1|1|1|148.5901385|15|1|1|3|1|1|1|1
3469747|1|1|1|252.32415697|15|1|1|1|1|1|1|1
3469748|1|1|1|174.41594357|15|1|1|1|1|1|1|1
3469749|1|1|1|228.51797728|15|2|1|1|1|1|1|1
3469750|1|1|1|176.30623291|15|2|1|2|1|1|1|1
3469751|1|1|1|255.83557625|15|2|1|1|1|1|1|1
3469752|1|1|1|118.8718731|15|1|1|2|1|1|1|1
3469753|1|1|1|118.33440642|15|1|1|2|1|1|1|1
3469754|1|1|1|183.14605287|15|1|1|2|1|1|1|1
3469755|1|1|1|139.3261626|15|2|1|2|1|1|1|1
3469756|1|1|1|114.25208263|15|1|1|2|1|1|1|1
3469757|1|1|1|154.00204188|15|2|1|2|1|1|1|1
3469758|1|1|1|156.34630634|15|2|1|3|1|1|1|1
3469759|1|1|1|91.151880092|15|2|1|3|1|1|1|1
3469760|1|1|1|119.33104287|15|3|1|2|1|1|1|1
3469761|1|1|1|160.55818139|15|2|1|3|1|1|1|1
3469762|1|1|1|130.49896948|15|2|1|2|1|1|1|1
3469763|1|1|1|79.697727444|15|1|1|1|1|1|1|1
3469764|1|1|1|114.6741665|15|2|1|2|1|1|1|1
3469765|1|1|1|104.59968233|15|1|1|2|1|1|1|1
3469766|1|1|1|114.6741665|15|2|1|2|1|1|1|1
3469767|1|1|1|136.70896124|15|2|1|2|1|1|1|1
3469768|1|1|1|304.26580988|15|2|1|2|1|1|1|1
3469769|1|1|1|118.00955462|15|2|1|2|1|1|1|1
3469770|1|1|1|114.6741665|15|2|1|2|1|1|1|1
3469771|1|1|1|79.697727444|15|2|1|2|1|1|1|1
3469772|1|1|1|130.75408409|15|2|1|5|1|1|1|1
3469773|1|1|1|130.75408409|15|2|1|5|1|1|1|1
3469774|1|1|1|130.75408409|15|2|1|5|1|1|1|1
3469775|1|1|1|213.40073082|15|2|1|5|1|1|1|1
3469776|1|1|1|139.42001439|15|2|1|5|1|1|1|1
3469777|1|1|1|163.89176127|15|2|1|4|1|1|1|1
3469778|1|1|1|131.06898874|15|2|1|3|1|1|1|1
3469779|1|1|1|141.97905964|15|2|1|3|1|1|1|1
3469780|1|1|1|129.3135418|15|2|1|3|1|1|1|1
3469781|1|1|1|150.50984353|15|2|1|2|1|1|1|1
3469782|1|1|1|171.27989744|15|3|1|2|1|1|1|1
3469783|1|1|1|75.0239129|15|1|1|4|1|1|1|1
3469784|1|1|1|156.78108701|15|1|1|4|1|1|1|1
3469785|1|1|1|122.03584298|15|1|1|4|1|1|1|1
3469786|1|1|1|169.83141106|15|1|1|4|1|1|1|1
3469787|1|1|1|121.45322549|15|1|1|4|1|1|1|1
3469788|1|1|1|109.77933358|15|1|1|4|1|1|1|1
3469789|1|1|1|577.31162363|17|2|1|4|1|1|1|1
3469790|1|1|1|336.17544649|17|2|1|4|1|1|1|1
3469791|1|1|1|493.14802321|17|2|1|4|1|1|1|1
3469792|1|1|1|603.48119991|17|2|1|4|1|1|1|1
3469793|1|1|1|508.83889724|17|2|1|4|1|1|1|1
3469794|1|1|1|324.53334468|17|2|1|4|1|1|1|1
3469795|1|1|1|369.19031611|17|2|1|4|1|1|1|1
3469796|1|1|1|638.03912363|17|2|1|4|1|1|1|1
3469797|1|1|1|1125.1891808|17|2|1|4|1|1|1|1
3469798|1|1|1|576.44155525|17|2|1|4|1|1|1|1
3469799|1|1|1|641.12887157|17|2|1|4|1|1|1|1
3469800|1|1|1|537.80134966|17|2|1|4|1|1|1|1
3469801|1|1|1|518.12684987|17|2|1|3|1|1|1|1
3469802|1|1|1|576.44155525|17|2|1|4|1|1|1|1
3469803|1|1|1|483.86094361|17|2|1|4|1|1|1|1
3469804|1|1|1|477.8342854|17|2|1|4|1|1|1|1
3469805|1|1|1|383.81778923|17|2|1|6|1|1|1|1
3469806|1|1|1|468.82556422|17|2|1|6|1|1|1|1
3469807|1|1|1|496.94118998|17|2|1|6|1|1|1|1
3469808|1|1|1|685.62168881|17|2|1|6|1|1|1|1
3469809|1|1|1|668.24189459|17|2|1|6|1|1|1|1
3469810|1|1|1|463.63007705|17|1|1|6|1|1|1|1
3469811|1|1|1|322.85638503|17|1|1|6|1|1|1|1
3469812|1|1|1|1059.0849091|17|1|1|6|1|1|1|1
3469813|1|1|1|383.81778923|17|2|1|6|1|1|1|1
3469814|1|1|1|324.72120249|17|2|1|3|1|1|1|1
3469815|1|1|1|314.81054614|17|2|1|3|1|1|1|1
3469816|1|1|1|367.19544197|17|1|1|3|1|1|1|1
3469817|1|1|1|405.06118811|17|2|1|3|1|1|1|1
3469818|1|1|1|375.29494921|17|2|1|3|1|1|1|1
3469819|1|1|1|369.95851634|17|2|1|3|1|1|1|1
3469820|1|1|1|314.81054614|17|2|1|3|1|1|1|1
3469821|1|1|1|282.55093803|17|2|1|3|1|1|1|1
3469822|1|1|1|406.59863863|17|2|1|3|1|1|1|1
